1P	الفاعل مستتر تقديره نَحْنُ
1S	الفاعل مستتر تقديره أَنَا
2D	ألف المثنّى ضمير المخاطب متّصل فاعل
2MP	واو الجماعة ضمير المخاطب متّصل فاعل
2MS	الفاعل مستتر تقديره أَنْتَ
3FP	نون النِّسوة ضمير الغائِبة متّصل فاعل
3FS	الفاعل مستتر تقديره هي
3MD	ألف المثنّى ضمير الغائِب متّصل فاعل
3MP	واو الجماعة ضمير الغائِب متّصل فاعل
3MS	الفاعل مستتر تقديره هو
ACC_PART	حرف نصب
ADJ	صفة
ADV	ظرف
ADV_PART	حرف تحقيق
ANSWER_PART 	حرف جواب
CASE_ACC	منصوب
CASE_GEN	مجرور
CASE_NOM	مرفوع
CONDITIONAL_PART	حرف شرط
CONJ	حرف عطف
CVSUFF_DO:3MS	ضمير متصل في محل نصب مفعول به
DEM_PRON_FD	اسم إشارة مؤنث مثنى
DEM_PRON_FS	اسم إشارة مؤنث مفرد
DEM_PRON_MD	اسم إشارة مذكر مثنى
DEM_PRON_MS	اسم إشارة مذكر مفرد
DET	حرف تعريف
EXCEPTIVE_PART	حرف استثناء
EXCLAMATIVE_NOUN 	اسم تعجّب
EXPLANATION_PART	حرف تفصيل
EXPLICATIVE_PART	حرف تفسير
FEM_DU_GEN	مؤنث مثنّى مجرور
FEM_DU_GEN	مؤنث مثنّى مجرور
FEM_DU_NOM	مؤنث مثنّى مرفوع
FEM_PL	جمع مؤنث سالم
FEM_SG	حرف تأنيث
FUT_PART	حرف استقبال
GEN_PRON_1P	ضمير  متّصل لجمع المتكلم مضاف إليه
GEN_PRON_1S	ضمير متّصل للمتكلم المفرد مضاف إليه
GEN_PRON_2MS	ضمير متّصل للمخاطب المفرد مضاف إليه
GEN_PRON_3D	ضمير متّصل لمثنّى الغائب مضاف إليه
GEN_PRON_3FP	ضمير متّصل لجمع الغائبة مضاف إليه
GEN_PRON_3FS	ضمير متّصل للغائبة المفردة مضاف إليه
GEN_PRON_3MP	ضمير متّصل لجمع الغائب مضاف إليه
GEN_PRON_3MS	ضمير متّصل للغائب المفرد مضاف إليه
INTERROG_NOUN	اسم استفهام
INTERROG_PART	حرف استفهام
IVSUFF_DO:1P	ضمير متّصل لجمع المتكلم مفعول به
IVSUFF_DO:2MS	ضمير متّصل للمخاطب المفرد مفعول به
IVSUFF_DO:3D	ضمير متّصل للغائب المثنّى مفعول به
IVSUFF_DO:3FS	ضمير متّصل للغائبة المفردة مفعول به
IVSUFF_DO:3MP	ضمير متّصل لجمع الغائب مفعول به
IVSUFF_DO:3MS	ضمير متّصل للغائب المفرد مفعول به
JUS_CONJ_V	حرف جزم
MASC_DU_ACC	مثنّى مذكر منصوب
MASC_DU_ACC	مثنّى مذكر منصوب
MASC_DU_GEN	مثنّى مذكر مجرور
MASC_DU_NOM	مذكر مثنّى مرفوع
MASC_DU_NOM	مذكر مثنّى مرفوع
MASC_PL_ACC	جمع مذكر سالم منصوب
MASC_PL_GEN	جمع مذكر سالم مجرور
MASC_PL_NOM	جمع مذكر سالم مرفوع
MOOD:ID	مرفوع
MOOD:ID	مرفوع
MOOD:JS	مجزوم
MOOD:SJ	منصوب
MOOD:SJ	منصوب
NEG_PART	حرف نفي
NEL	اسم تفضيل
NOUN	اسم
NOUN_PROP	اسم علم
PREP	حرف جرّ
PREVENTIVE_PART	حرف كافّ
PRON_1P	ضمير لجمع المتكلم
PRON_1S	ضمير للمتكلم المفرد
PRON_2MP	ضمير لجمع المخاطب
PRON_2MS	ضمير للمخاطب المفرد
PRON_3D	ضمير للغائب  المثنّى
PRON_3FS	ضمير للغائبة المفردة
PRON_3MP	ضمير لجمع الغائب
PRON_3MS	ضمير للغائب المفرد
PUNCT	علامة ترقيم
PURPOSE_PART	لام التعليل
PVSUFF_DO:1S	ضمير متّصل للمتكلم المفرد مفعول به
PVSUFF_DO:2MP	ضمير متّصل لجمع المخاطب مفعول به
PVSUFF_DO:3FS	ضمير متّصل للغائبة المفردة مفعول به
PVSUFF_DO:3MP	ضمير متّصل لجمع الغائب مفعول به
PVSUFF_DO:3MS	ضمير متّصل للغائب المفرد مفعول به
REL_PRON	اسم موصول
RESULT_PARTICLE	لام جواب الشرط
SUB_CONJ_V	حرف نصب
SUBJ:1P	ونا المتكلّم ضمير متّصل فاعل
SUBJ:1S	والتاء ضمير متّصل فاعل
SUBJ:2MP	والتاء ضمير متّصل فاعل
SUBJ:2MS	والتاء ضمير متّصل فاعل
SUBJ:2MS	والفاعل ضمير مستتر تقديره أنتَ
SUBJ:3FS	والفاعل مستتر تقديره هي
SUBJ:3MD	وألف المثنّى ضمير متّصل فاعل
SUBJ:3MP	واو الجماعة ضمير متّصل فاعل
SUBJ:3MS	والفاعل مستتر تقديره هو
SUBJ:D_MOOD:ID	ألف المثنّى ضمير متّصل فاعل والفعل مرفوع بثبوت النّون
SUBJ:MP_MOOD:ID	واو الجماعة ضمير متّصل فاعل والفعل مرفوع بثبوت النّون
SUBJ:MP_MOOD:JS	واو الجماعة ضمير متّصل فاعل والفعل مجزوم بحدف النّون
SUBJ:MP_MOOD:SJ	واو الجماعة ضمير متّصل فاعل والفعل منصوب بحدف النّون
SUBORDINATING_CONJ	حرف مصدريّ
SUPPLEMENTALE_PART	حرف زائد
VERB_IMPERATIVE	فعل أمر
VERB_IMPERFECT	فعل مضارع
VERB_PASSIVE	فعل مجهول
VERB_PERFECT	فعل ماضي
VOCATIVE_PART	حرف نداء
